Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
-0.0018024589100954912 * x ^ 2 + 0.00106087009032943 * log10 ( -0.00904891359554748 * x ^ 1 ) + 10,5.490869463192233,BasicAI,10,false,5.490869463192233,5.490869463192233,14030.0
-0.0018024589100954912 * x ^ 2 + 0.00106087009032943 * log10 ( -0.00904891359554748 * x ^ 1 ) + 10,5.490869463192233,NewAI,10,false,5.490869463192233,5.490869463192233,628580.0
-0.0018024589100954912 * x ^ 2 + 0.00106087009032943 * log10 ( -0.00904891359554748 * x ^ 1 ) + 10,5.490869463192233,Random,10,false,5.490869463192233,5.490869463192233,1255260.0
-9.240452090694873E-4 * x ^ 1 * 0.0017754689419829039 * y ^ 2 + 0.003742798188242299 * atan ( 0.0013441660827618696 * x ^ 3 ) + 10,11.823949201922838,BasicAI,3,true,3.44154330001963,0.017944531645302325,4884300.0
-9.240452090694873E-4 * x ^ 1 * 0.0017754689419829039 * y ^ 2 + 0.003742798188242299 * atan ( 0.0013441660827618696 * x ^ 3 ) + 10,11.823949201922838,NewAI,2,true,0.0583067277209101,0.001826216297131312,1530800.0
-9.240452090694873E-4 * x ^ 1 * 0.0017754689419829039 * y ^ 2 + 0.003742798188242299 * atan ( 0.0013441660827618696 * x ^ 3 ) + 10,11.823949201922838,Random,10,false,11.823949201922838,11.823949201922838,8160.0
-0.0023287831619885914 * y ^ 1 + 0.00852164667281472 * sin ( -0.00203332293500909 * y ^ 5 ) + 10,3.0363802678441387,BasicAI,10,false,0.9483846731200083,0.8837577302293619,16670.0
-0.0023287831619885914 * y ^ 1 + 0.00852164667281472 * sin ( -0.00203332293500909 * y ^ 5 ) + 10,3.0363802678441387,NewAI,10,false,0.4813086127237079,0.4812859004313795,615530.0
-0.0023287831619885914 * y ^ 1 + 0.00852164667281472 * sin ( -0.00203332293500909 * y ^ 5 ) + 10,3.0363802678441387,Random,10,false,1.7840529669515286E7,8.763899912520401E7,12260.0
-0.0014408609462986278 * y ^ 1 - 0.0047259104383746454 * y ^ 1 + 10,2.2845874007078946,BasicAI,10,false,3.3972988586459296,4.923581046719141,14210.0
-0.0014408609462986278 * y ^ 1 - 0.0047259104383746454 * y ^ 1 + 10,2.2845874007078946,NewAI,10,false,2.747975160749736,6.029489061196745,486680.0
-0.0014408609462986278 * y ^ 1 - 0.0047259104383746454 * y ^ 1 + 10,2.2845874007078946,Random,10,false,4304926.757302044,1.5044823546905112E8,8720.0
