Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
2,11.841709507113762,BasicAI,2,true,0.8066557467572251,0.00707343008991556,460450.0
2,11.841709507113762,NewAI,2,true,0.09361070101174858,0.002928412197930046,4413800.0
2,11.841709507113762,Random,10,false,7747427.74540425,2.2413704713555533E7,45950.0
2,13.385708411342662,BasicAI,3,true,3.499002531542979,0.00495686241216567,2033.3333333333333
2,13.385708411342662,NewAI,2,true,0.29745996682329034,0.0074841749601823986,61400.0
2,13.385708411342662,Random,10,false,2.504206520187479E7,2.2552416945491172E7,12150.0
2,12.087046864650354,BasicAI,2,true,0.9591543452436293,0.009772309359522096,2000.0
2,12.087046864650354,NewAI,2,true,0.10955799270425488,0.0032076561086882547,30000.0
2,12.087046864650354,Random,10,false,3903581.5191465295,5.740791257119716E7,17660.0
Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
2,11.841709507113762,BasicAI,2,true,0.8066557467572251,0.00707343008991556,460450.0
2,11.841709507113762,NewAI,2,true,0.09361070101174858,0.002928412197930046,4413800.0
2,11.841709507113762,Random,10,false,7747427.74540425,2.2413704713555533E7,45950.0
2,13.385708411342662,BasicAI,3,true,3.499002531542979,0.00495686241216567,2033.3333333333333
2,13.385708411342662,NewAI,2,true,0.29745996682329034,0.0074841749601823986,61400.0
2,13.385708411342662,Random,10,false,2.504206520187479E7,2.2552416945491172E7,12150.0
2,12.087046864650354,BasicAI,2,true,0.9591543452436293,0.009772309359522096,2000.0
2,12.087046864650354,NewAI,2,true,0.10955799270425488,0.0032076561086882547,30000.0
2,12.087046864650354,Random,10,false,3903581.5191465295,5.740791257119716E7,17660.0
