CourseInfo,BotType,ShotsTaken,TimetoSolve
4,forward,4, 778602900
4,backward,3,88501129600
4,forward,7, 3189337200
4,backward,7,384707752700
4,forward,5, 14608218100
4,backward,5,342910962800
4,forward,10, 80506053300
4,backward,7,300020427800
