Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.0036755124252480075 * x ^ 3 ^ 3 + 0.0021256314904862707 * abs ( 0.0020905064762671587 * y ^ 1 ) + 10,18.875604594397288,NewAI,10,false,18.875604594397288,18.875604594397288,52170.0
0.0036755124252480075 * x ^ 3 ^ 3 + 0.0021256314904862707 * abs ( 0.0020905064762671587 * y ^ 1 ) + 10,18.875604594397288,Random,10,false,18.875604594397288,18.875604594397288,2390.0
0.009378950035711991 * tan ( -0.009662228251235574 * x ^ 1 ^ 2 + -5.734102079512659E-4 * x ^ 1 ) ^ 5 + 0.0013997541970372695 * x ^ 1 + 10,13.528056742216403,BasicAI,10,false,2.7744003126521712,1.1077002162135627,12400.0
0.009378950035711991 * tan ( -0.009662228251235574 * x ^ 1 ^ 2 + -5.734102079512659E-4 * x ^ 1 ) ^ 5 + 0.0013997541970372695 * x ^ 1 + 10,13.528056742216403,NewAI,10,false,1.2392149749972081,1.390398457175224,23740.0
0.009378950035711991 * tan ( -0.009662228251235574 * x ^ 1 ^ 2 + -5.734102079512659E-4 * x ^ 1 ) ^ 5 + 0.0013997541970372695 * x ^ 1 + 10,13.528056742216403,Random,10,false,13.528056742216403,13.528056742216403,4100.0
9.488368563672966E-4 * sqrt ( -0.0011341723245485913 * x ^ 1 ) ^ 2 + -0.00339317562827672 * x ^ 2 + -0.00877701690337051 * y ^ 1 + 10,7.076784752195594,BasicAI,10,false,7.076784752195594,7.076784752195594,9620.0
9.488368563672966E-4 * sqrt ( -0.0011341723245485913 * x ^ 1 ) ^ 2 + -0.00339317562827672 * x ^ 2 + -0.00877701690337051 * y ^ 1 + 10,7.076784752195594,NewAI,10,false,7.076784752195594,7.076784752195594,19290.0
9.488368563672966E-4 * sqrt ( -0.0011341723245485913 * x ^ 1 ) ^ 2 + -0.00339317562827672 * x ^ 2 + -0.00877701690337051 * y ^ 1 + 10,7.076784752195594,Random,10,false,7.076784752195594,7.076784752195594,1720.0
0.0017747469746005984 * cos ( -0.003483033470692026 * x ^ 3 ) ^ 3 + -0.00988438909976257 * x ^ 1 - -0.006754688265134498 * y ^ 2 + 10,13.388171742582538,BasicAI,10,false,11.551361858802426,12.975930797797387,18850.0
0.0017747469746005984 * cos ( -0.003483033470692026 * x ^ 3 ) ^ 3 + -0.00988438909976257 * x ^ 1 - -0.006754688265134498 * y ^ 2 + 10,13.388171742582538,NewAI,10,false,9.241597784549047,10.0580829208974,23050.0
0.0017747469746005984 * cos ( -0.003483033470692026 * x ^ 3 ) ^ 3 + -0.00988438909976257 * x ^ 1 - -0.006754688265134498 * y ^ 2 + 10,13.388171742582538,Random,10,false,13.388171742582538,8.019735774752504E15,6720.0
0.004824510202752348 * cosh ( -1.761327386084255E-4 * y ^ 2 ) + 0.0011285192660778444 * y ^ 3 - 0.007771641840758749 * y ^ 1 + 10,6.139965675430106,BasicAI,10,false,1.1590462015579286,0.7376756639172947,15720.0
